날짜,지점명,담당자명,병원명,segment,activities,품목,품목규격,처방수량,처방금액,월
2025-01-07,충청지점,충청지점_사원2,마포_A_병원_10,일반의원,컨택,포트폴듀오정,50mg,43,9890,1
2025-01-07,충청지점,충청지점_사원2,마포_A_병원_10,일반의원,컨택,베라스트정,600mg,24,15120,1
2025-01-05,서울2본부,서울2본부_사원6,수성구_B_병원_4,일반의원,대면,아키정,100mg,40,60000,1
2025-01-17,경기남부,경기남부_사원6,송파_C_병원_3,일반의원,컨택,벨로정,2.5mg,24,8400,1
2025-01-03,강원지점,강원지점_사원2,해운대_B_병원_9,일반의원,니즈환기,인장캡슐,200mg,40,49200,1
2025-01-24,서울1본부,서울1본부_사원3,강남_C_병원_9,종합병원,접근,아키정,250mg,145,464000,1
2025-01-24,서울1본부,서울1본부_사원3,강남_C_병원_9,종합병원,접근,포트폴듀오정,250mg,45,23850,1
2025-01-02,경기북부,경기북부_사원2,마포_C_병원_5,종합병원,클로징,포트폴듀오정,150mg,206,88580,1
2025-01-02,경기북부,경기북부_사원2,마포_C_병원_5,종합병원,클로징,인장캡슐,200mg,152,186960,1
2025-01-18,서울2본부,서울2본부_1팀장,상무_A_병원_8,종합병원,컨택,아키정,100mg,102,153000,1
2025-01-23,대구지점,대구지점_사원6,서초_C_병원_8,상급종합,컨택,베라스트정,600mg,518,326340,1
2025-01-23,대구지점,대구지점_사원6,서초_C_병원_8,상급종합,컨택,포트폴듀오정,100mg,119,39270,1
2025-01-17,대구지점,대구지점_사원5,마포_A_병원_1,종합병원,니즈환기,포트폴듀오정,50mg,217,49910,1
2025-01-17,대구지점,대구지점_사원5,마포_A_병원_1,종합병원,니즈환기,인장캡슐,400mg,241,516945,1
2025-01-02,경기북부,경기북부_사원4,둔산_B_병원_2,상급종합,클로징,담솔정,5mg,590,303850,1
2025-01-23,대전지점,대전지점_1팀장,해운대_A_병원_8,종합병원,접근,포트폴듀오정,50mg,167,38410,1
2025-01-14,강원지점,강원지점_사원2,송파_A_병원_5,종합병원,피드백,포트폴듀오정,250mg,276,146280,1
2025-01-07,경기남부,경기남부_사원7,마포_B_병원_6,일반의원,접근,베라스트정,600mg,32,20160,1
2025-01-19,서울1본부,서울1본부_사원5,둔산_D_병원_8,종합병원,피드백,포트폴듀오정,150mg,185,79550,1
